taxa,decay_rate,buff_width,tws,cv_score,delta_score
birds,100,1000,1 0 2,30782.74445986062,-48.159345214775385
birds,50,100,1 1 1,30782.822923017982,-48.237808372137806
birds,100,1000,1 1 1,30783.91836261909,-49.33324797324531
birds,0,500,2 0 1,30785.133670671108,-50.54855602526368
birds,50,1000,1 0 2,30785.21361220964,-50.62849756379728
birds,0,1000,3 0 0,30785.580522351655,-50.99540770581007
birds,50,1000,2 1 0,30786.09124517969,-51.50613053384586
birds,0,1000,2 0 1,30786.390496901124,-51.805382255279255
birds,0,500,1 1 1,30786.520275037197,-51.93516039135284
birds,0,500,1 0 2,30787.834751277907,-53.2496366320629
birds,0,500,0 3 0,30788.853900567537,-54.26878592169305
birds,0,500,1 2 0,30789.27635179092,-54.69123714507441
birds,0,1000,1 0 2,30789.355706030274,-54.77059138442928
birds,100,100,1 0 2,30789.746317143643,-55.16120249779851
birds,0,1000,0 2 1,30790.07764803293,-55.49253338708513
birds,100,100,1 2 0,30790.72141674059,-56.1363020947465
birds,0,500,3 0 0,30791.12271247217,-56.53759782632551
birds,50,100,0 1 2,30792.33379496365,-57.74868031780716
birds,0,1000,0 3 0,30794.24183827123,-59.6567236253868
birds,50,100,1 2 0,30794.255215023088,-59.670100377243216
birds,0,100,0 3 0,30796.279999527913,-61.694884882068436
birds,0,500,0 0 3,30796.650365814563,-62.06525116871853
birds,50,1000,1 2 0,30797.637328267585,-63.05221362174052
birds,50,100,2 0 1,30798.1017454642,-63.516630818354315
birds,100,100,2 1 0,30798.314055484894,-63.728940839049756
birds,0,1000,1 2 0,30798.396193957047,-63.811079311202775
birds,50,100,3 0 0,30798.802695103703,-64.21758045785828
birds,0,100,0 2 1,30800.02129368492,-65.4361790390758
birds,50,100,0 0 3,30801.00023546961,-66.41512082376721
birds,0,100,1 2 0,30801.795570775997,-67.21045613015303
birds,50,100,0 2 1,30802.09101652226,-67.50590187641501
birds,100,100,2 0 1,30802.17010972158,-67.584995075736515
birds,100,100,1 1 1,30803.319210256315,-68.73409561047083
birds,0,1000,0 1 2,30803.33142371231,-68.74630906646416
birds,0,100,1 1 1,30803.516296375645,-68.9311817298003
birds,0,100,2 1 0,30803.917461876143,-69.33234723029818
birds,100,100,0 1 2,30804.20032031874,-69.61520567289699
birds,0,500,0 1 2,30804.344991216487,-69.75987657064252
birds,0,1000,2 1 0,30804.367169190835,-69.78205454499039
birds,100,100,0 2 1,30804.38661847735,-69.80150383150612
birds,100,100,0 0 3,30805.656183010597,-71.07106836475214
birds,0,500,2 1 0,30806.12728803221,-71.5421733863659
birds,50,100,1 0 2,30807.872558967025,-73.28744432118037
birds,0,500,0 2 1,30807.88523110165,-73.30011645580453
birds,100,100,0 3 0,30808.99336517912,-74.40825053327717
birds,0,100,0 0 3,30809.32568835579,-74.74057370994706
birds,0,100,1 0 2,30809.40153064513,-74.8164159992848
birds,100,100,3 0 0,30809.64118452671,-75.05606988086583
birds,0,100,3 0 0,30811.68231619135,-77.0972015455045
birds,0,1000,1 1 1,30811.805116928812,-77.22000228296747
birds,0,100,0 1 2,30817.018591648688,-82.43347700284357
birds,0,100,2 0 1,30823.90149771792,-89.31638307207686
bats,0,1000,0 2 1,5822.7002503963,0
