point,ucb_name,can_cov,shr_cov
ICB21.8,NA,10,40
ICB21.9,NA,15,29
ICB21.10,NA,14,30
ICB22.1,NA,NA,NA
ICB22.2,NA,NA,NA
ICB22.3,NA,NA,NA
ICB22.4,NA,NA,NA
ICB22.5,NA,NA,NA
ICB22.6,NA,NA,NA
ICB22.7,NA,NA,NA
ICB22.8,NA,NA,NA
ICB22.9,NA,NA,NA
ICB22.10,NA,NA,NA
ICB29.1,NA,1,40
ICB29.2,NA,6,28
ICB29.3,NA,2,75
ICB29.4,NA,18,15
ICB29.5,NA,9,5
ICB29.6,NA,27,12
ICB29.7,NA,6,27
ICB29.8,NA,17,27
ICB29.9,NA,22,28
ICB30.2,NA,7,15
ICB30.3,NA,6,15
ICB30.4,NA,4,20
ICB30.5,NA,14,30
ICB30.6,NA,22,16
ICB30.7,NA,0,90
ICB30.8,NA,10,6
ICB30.9,NA,12,9
ICB30.10,NA,13,32
ICB38.1,NA,7,31
ICB38.2,NA,NA,NA
ICB38.4,NA,NA,NA
ICB38.6,NA,NA,NA
ICB38.7,NA,7,6
ICB38.9,NA,NA,NA
ICB44.1,NA,NA,NA
ICB44.2,NA,NA,NA
ICB44.3,NA,NA,NA
ICB44.4,NA,7,11
ICB44.5,NA,8,9
ICB44.6,NA,1,70
ICB44.7,NA,8,67
ICB44.8,NA,NA,NA
ICB44.9,NA,15,32
ICB44.10,NA,50,18
ICB45.1,NA,15,30
ICB45.2,NA,8,37
ICB45.3,NA,6,45
ICB45.4,NA,7,80
ICB45.5,NA,20,40
ICB45.6,NA,10,64
ICB45.7,NA,2,25
ICB45.8,NA,7,62
ICB45.9,NA,1,65
ICB45.10,NA,4,60
ICB46.1,NA,3,65
ICB46.2,NA,15,55
ICB46.3,NA,30,25
ICB46.4,NA,NA,NA
ICB46.5,NA,6,23
ICB46.6,NA,0,60
ICB46.7,NA,0,85
ICB46.8,NA,7,26
ICB46.9,NA,6,60
ICB46.10,NA,0,50
UNB2.2,NA,NA,NA
UNB2.5,NA,NA,NA
UNB2.6,NA,NA,NA
UNB2.7,NA,NA,NA
UNB2.8,NA,NA,NA
ICB17.1,NA,NA,NA
ICB17.2,NA,NA,NA
ICB17.4,NA,NA,NA
ICB17.7,NA,NA,NA
